wave	sky_flux	sky_flux_err
4.85E+03	1.00E-06	1.00E-05
4.85E+03	1.00E-06	1.00E-05
4.85E+03	1.00E-06	1.00E-05
4.86E+03	1.00E-06	1.00E-05
4.86E+03	1.00E-06	1.00E-05
4.86E+03	1.00E-06	1.00E-05
4.86E+03	1.00E-06	1.00E-05
4.86E+03	1.00E-06	1.00E-05
4.86E+03	1.00E-06	1.00E-05
4.86E+03	1.00E-06	1.00E-05
4.86E+03	1.00E-06	1.00E-05
4.87E+03	1.00E-06	1.00E-05
4.87E+03	1.00E-06	1.00E-05
4.87E+03	1.00E-06	1.00E-05
4.87E+03	1.00E-06	1.00E-05
4.87E+03	1.00E-06	1.00E-05
4.87E+03	1.00E-06	1.00E-05
4.87E+03	1.00E-06	1.00E-05
4.87E+03	1.00E-06	1.00E-05
4.88E+03	1.00E-06	1.00E-05
4.88E+03	1.00E-06	1.00E-05
4.88E+03	1.00E-06	1.00E-05
4.88E+03	1.00E-06	1.00E-05
4.88E+03	1.00E-06	1.00E-05
4.88E+03	1.00E-06	1.00E-05
4.88E+03	1.00E-06	1.00E-05
4.88E+03	1.00E-06	1.00E-05
4.89E+03	1.00E-06	1.00E-05
4.89E+03	1.00E-06	1.00E-05
4.89E+03	1.00E-06	1.00E-05
4.89E+03	1.00E-06	1.00E-05
4.89E+03	1.00E-06	1.00E-05
4.89E+03	1.00E-06	1.00E-05
4.89E+03	1.00E-06	1.00E-05
4.89E+03	1.00E-06	1.00E-05
4.90E+03	1.00E-06	1.00E-05
4.90E+03	1.00E-06	1.00E-05
4.90E+03	1.00E-06	1.00E-05
4.90E+03	1.00E-06	1.00E-05
4.90E+03	1.00E-06	1.00E-05
4.90E+03	1.00E-06	1.00E-05
4.90E+03	1.00E-06	1.00E-05
4.90E+03	1.00E-06	1.00E-05
4.91E+03	1.00E-06	1.00E-05
4.91E+03	1.00E-06	1.00E-05
4.91E+03	1.00E-06	1.00E-05
4.91E+03	1.00E-06	1.00E-05
4.91E+03	1.00E-06	1.00E-05
4.91E+03	1.00E-06	1.00E-05
4.91E+03	1.00E-06	1.00E-05
4.91E+03	1.00E-06	1.00E-05
4.92E+03	1.00E-06	1.00E-05
4.92E+03	1.00E-06	1.00E-05
4.92E+03	1.00E-06	1.00E-05
4.92E+03	1.00E-06	1.00E-05
4.92E+03	1.00E-06	1.00E-05
4.92E+03	1.00E-06	1.00E-05
4.92E+03	1.00E-06	1.00E-05
4.92E+03	1.00E-06	1.00E-05
4.93E+03	1.00E-06	1.00E-05
4.93E+03	1.00E-06	1.00E-05
4.93E+03	1.00E-06	1.00E-05
4.93E+03	1.00E-06	1.00E-05
4.93E+03	1.00E-06	1.00E-05
4.93E+03	1.00E-06	1.00E-05
4.93E+03	1.00E-06	1.00E-05
4.93E+03	1.00E-06	1.00E-05
4.94E+03	1.00E-06	1.00E-05
4.94E+03	1.00E-06	1.00E-05
4.94E+03	1.00E-06	1.00E-05
4.94E+03	1.00E-06	1.00E-05
4.94E+03	1.00E-06	1.00E-05
4.94E+03	1.00E-06	1.00E-05
4.94E+03	1.00E-06	1.00E-05
4.94E+03	1.00E-06	1.00E-05
4.95E+03	1.00E-06	1.00E-05
4.95E+03	1.00E-06	1.00E-05
4.95E+03	1.00E-06	1.00E-05
4.95E+03	1.00E-06	1.00E-05
4.95E+03	1.00E-06	1.00E-05
4.95E+03	1.00E-06	1.00E-05
4.95E+03	1.00E-06	1.00E-05
4.95E+03	1.00E-06	1.00E-05
4.96E+03	1.00E-06	1.00E-05
4.96E+03	1.00E-06	1.00E-05
4.96E+03	1.00E-06	1.00E-05
4.96E+03	1.00E-06	1.00E-05
4.96E+03	1.00E-06	1.00E-05
4.96E+03	1.00E-06	1.00E-05
4.96E+03	1.00E-06	1.00E-05
4.96E+03	1.00E-06	1.00E-05
4.97E+03	1.00E-06	1.00E-05
4.97E+03	1.00E-06	1.00E-05
4.97E+03	1.00E-06	1.00E-05
4.97E+03	1.00E-06	1.00E-05
4.97E+03	1.00E-06	1.00E-05
4.97E+03	1.00E-06	1.00E-05
4.97E+03	1.00E-06	1.00E-05
4.97E+03	1.00E-06	1.00E-05
4.98E+03	1.00E-06	1.00E-05
4.98E+03	1.00E-06	1.00E-05
4.98E+03	1.00E-06	1.00E-05
4.98E+03	1.00E-06	1.00E-05
4.98E+03	1.00E-06	1.00E-05
4.98E+03	1.00E-06	1.00E-05
4.98E+03	1.00E-06	1.00E-05
4.98E+03	1.00E-06	1.00E-05
4.99E+03	1.00E-06	1.00E-05
4.99E+03	1.00E-06	1.00E-05
4.99E+03	1.00E-06	1.00E-05
4.99E+03	1.00E-06	1.00E-05
4.99E+03	1.00E-06	1.00E-05
4.99E+03	1.00E-06	1.00E-05
4.99E+03	1.00E-06	1.00E-05
4.99E+03	1.00E-06	1.00E-05
5.00E+03	1.00E-06	1.00E-05
5.00E+03	1.00E-06	1.00E-05
5.00E+03	1.00E-06	1.00E-05
5.00E+03	1.00E-06	1.00E-05
5.00E+03	1.00E-06	1.00E-05
5.00E+03	1.00E-06	1.00E-05
5.00E+03	1.00E-06	1.00E-05
5.00E+03	1.00E-06	1.00E-05
5.01E+03	1.00E-06	1.00E-05
5.01E+03	1.00E-06	1.00E-05
5.01E+03	1.00E-06	1.00E-05
5.01E+03	1.00E-06	1.00E-05
5.01E+03	1.00E-06	1.00E-05
5.01E+03	1.00E-06	1.00E-05
5.01E+03	1.00E-06	1.00E-05
5.01E+03	1.00E-06	1.00E-05
5.02E+03	1.00E-06	1.00E-05
5.02E+03	1.00E-06	1.00E-05
5.02E+03	1.00E-06	1.00E-05
5.02E+03	1.00E-06	1.00E-05
5.02E+03	1.00E-06	1.00E-05
5.02E+03	1.00E-06	1.00E-05
5.02E+03	1.00E-06	1.00E-05
5.02E+03	1.00E-06	1.00E-05
5.03E+03	1.00E-06	1.00E-05
5.03E+03	1.00E-06	1.00E-05
5.03E+03	1.00E-06	1.00E-05
5.03E+03	1.00E-06	1.00E-05
5.03E+03	1.00E-06	1.00E-05
5.03E+03	1.00E-06	1.00E-05
5.03E+03	1.00E-06	1.00E-05
5.03E+03	1.00E-06	1.00E-05
5.04E+03	1.00E-06	1.00E-05
5.04E+03	1.00E-06	1.00E-05
5.04E+03	1.00E-06	1.00E-05
5.04E+03	1.00E-06	1.00E-05
5.04E+03	1.00E-06	1.00E-05
5.04E+03	1.00E-06	1.00E-05
5.04E+03	1.00E-06	1.00E-05
5.04E+03	1.00E-06	1.00E-05
5.05E+03	1.00E-06	1.00E-05
5.05E+03	1.00E-06	1.00E-05
5.05E+03	1.00E-06	1.00E-05
5.05E+03	1.00E-06	1.00E-05
5.05E+03	1.00E-06	1.00E-05
5.05E+03	1.00E-06	1.00E-05
5.05E+03	1.00E-06	1.00E-05
5.05E+03	1.00E-06	1.00E-05
5.06E+03	1.00E-06	1.00E-05
5.06E+03	1.00E-06	1.00E-05
5.06E+03	1.00E-06	1.00E-05
5.06E+03	1.00E-06	1.00E-05
5.06E+03	1.00E-06	1.00E-05
5.06E+03	1.00E-06	1.00E-05
5.06E+03	1.00E-06	1.00E-05
5.06E+03	1.00E-06	1.00E-05
5.07E+03	1.00E-06	1.00E-05
5.07E+03	1.00E-06	1.00E-05
5.07E+03	1.00E-06	1.00E-05
5.07E+03	1.00E-06	1.00E-05
5.07E+03	1.00E-06	1.00E-05
5.07E+03	1.00E-06	1.00E-05
5.07E+03	1.00E-06	1.00E-05
5.07E+03	1.00E-06	1.00E-05
5.08E+03	1.00E-06	1.00E-05
5.08E+03	1.00E-06	1.00E-05
5.08E+03	1.00E-06	1.00E-05
5.08E+03	1.00E-06	1.00E-05
5.08E+03	1.00E-06	1.00E-05
5.08E+03	1.00E-06	1.00E-05
5.08E+03	1.00E-06	1.00E-05
5.08E+03	1.00E-06	1.00E-05
5.09E+03	1.00E-06	1.00E-05
5.09E+03	1.00E-06	1.00E-05
5.09E+03	1.00E-06	1.00E-05
5.09E+03	1.00E-06	1.00E-05
5.09E+03	1.00E-06	1.00E-05
5.09E+03	1.00E-06	1.00E-05
5.09E+03	1.00E-06	1.00E-05
5.09E+03	1.00E-06	1.00E-05
5.10E+03	1.00E-06	1.00E-05
5.10E+03	1.00E-06	1.00E-05
5.10E+03	1.00E-06	1.00E-05
5.10E+03	1.00E-06	1.00E-05
5.10E+03	1.00E-06	1.00E-05
5.10E+03	1.00E-06	1.00E-05
5.10E+03	1.00E-06	1.00E-05
5.10E+03	1.00E-06	1.00E-05
5.11E+03	1.00E-06	1.00E-05
5.11E+03	1.00E-06	1.00E-05
5.11E+03	1.00E-06	1.00E-05
5.11E+03	1.00E-06	1.00E-05
5.11E+03	1.00E-06	1.00E-05
5.11E+03	1.00E-06	1.00E-05
5.11E+03	1.00E-06	1.00E-05
5.11E+03	1.00E-06	1.00E-05
5.12E+03	1.00E-06	1.00E-05
5.12E+03	1.00E-06	1.00E-05
5.12E+03	1.00E-06	1.00E-05
5.12E+03	1.00E-06	1.00E-05
5.12E+03	1.00E-06	1.00E-05
5.12E+03	1.00E-06	1.00E-05
5.12E+03	1.00E-06	1.00E-05
5.12E+03	1.00E-06	1.00E-05
5.13E+03	1.00E-06	1.00E-05
5.13E+03	1.00E-06	1.00E-05
5.13E+03	1.00E-06	1.00E-05
5.13E+03	1.00E-06	1.00E-05
5.13E+03	1.00E-06	1.00E-05
5.13E+03	1.00E-06	1.00E-05
5.13E+03	1.00E-06	1.00E-05
5.13E+03	1.00E-06	1.00E-05
5.14E+03	1.00E-06	1.00E-05
5.14E+03	1.00E-06	1.00E-05
5.14E+03	1.00E-06	1.00E-05
5.14E+03	1.00E-06	1.00E-05
5.14E+03	1.00E-06	1.00E-05
5.14E+03	1.00E-06	1.00E-05
5.14E+03	1.00E-06	1.00E-05
5.14E+03	1.00E-06	1.00E-05
5.15E+03	1.00E-06	1.00E-05
5.15E+03	1.00E-06	1.00E-05
5.15E+03	1.00E-06	1.00E-05
5.15E+03	1.00E-06	1.00E-05
5.15E+03	1.00E-06	1.00E-05
5.15E+03	1.00E-06	1.00E-05
5.15E+03	1.00E-06	1.00E-05
5.15E+03	1.00E-06	1.00E-05
5.16E+03	1.00E-06	1.00E-05
5.16E+03	1.00E-06	1.00E-05
5.16E+03	1.00E-06	1.00E-05
5.16E+03	1.00E-06	1.00E-05
5.16E+03	1.00E-06	1.00E-05
5.16E+03	1.00E-06	1.00E-05
5.16E+03	1.00E-06	1.00E-05
5.16E+03	1.00E-06	1.00E-05
5.17E+03	1.00E-06	1.00E-05
5.17E+03	1.00E-06	1.00E-05
5.17E+03	1.00E-06	1.00E-05
5.17E+03	1.00E-06	1.00E-05
5.17E+03	1.00E-06	1.00E-05
5.17E+03	1.00E-06	1.00E-05
5.17E+03	1.00E-06	1.00E-05
5.17E+03	1.00E-06	1.00E-05
5.18E+03	1.00E-06	1.00E-05
5.18E+03	1.00E-06	1.00E-05
5.18E+03	1.00E-06	1.00E-05
5.18E+03	1.00E-06	1.00E-05
5.18E+03	1.00E-06	1.00E-05
5.18E+03	1.00E-06	1.00E-05
5.18E+03	1.00E-06	1.00E-05
5.18E+03	1.00E-06	1.00E-05
5.19E+03	1.00E-06	1.00E-05
5.19E+03	1.00E-06	1.00E-05
5.19E+03	1.00E-06	1.00E-05
5.19E+03	1.00E-06	1.00E-05
5.19E+03	1.00E-06	1.00E-05
5.19E+03	1.00E-06	1.00E-05
5.19E+03	1.00E-06	1.00E-05
5.19E+03	1.00E-06	1.00E-05
5.20E+03	1.00E-06	1.00E-05
5.20E+03	1.00E-06	1.00E-05
5.20E+03	1.00E-06	1.00E-05
5.20E+03	1.00E-06	1.00E-05
5.20E+03	1.00E-06	1.00E-05
5.20E+03	1.00E-06	1.00E-05
5.20E+03	1.00E-06	1.00E-05
5.20E+03	1.00E-06	1.00E-05
5.21E+03	1.00E-06	1.00E-05
5.21E+03	1.00E-06	1.00E-05
5.21E+03	1.00E-06	1.00E-05
5.21E+03	1.00E-06	1.00E-05
5.21E+03	1.00E-06	1.00E-05
5.21E+03	1.00E-06	1.00E-05
5.21E+03	1.00E-06	1.00E-05
5.21E+03	1.00E-06	1.00E-05
5.22E+03	1.00E-06	1.00E-05
5.22E+03	1.00E-06	1.00E-05
5.22E+03	1.00E-06	1.00E-05
5.22E+03	1.00E-06	1.00E-05
5.22E+03	1.00E-06	1.00E-05
5.22E+03	1.00E-06	1.00E-05
5.22E+03	1.00E-06	1.00E-05
5.22E+03	1.00E-06	1.00E-05
5.23E+03	1.00E-06	1.00E-05
5.23E+03	1.00E-06	1.00E-05
5.23E+03	1.00E-06	1.00E-05
5.23E+03	1.00E-06	1.00E-05
5.23E+03	1.00E-06	1.00E-05
5.23E+03	1.00E-06	1.00E-05
5.23E+03	1.00E-06	1.00E-05
5.23E+03	1.00E-06	1.00E-05
5.24E+03	1.00E-06	1.00E-05
5.24E+03	1.00E-06	1.00E-05
5.24E+03	1.00E-06	1.00E-05
5.24E+03	1.00E-06	1.00E-05
5.24E+03	1.00E-06	1.00E-05
5.24E+03	1.00E-06	1.00E-05
5.24E+03	1.00E-06	1.00E-05
5.24E+03	1.00E-06	1.00E-05
5.25E+03	1.00E-06	1.00E-05
5.25E+03	1.00E-06	1.00E-05
5.25E+03	1.00E-06	1.00E-05
5.25E+03	1.00E-06	1.00E-05
5.25E+03	1.00E-06	1.00E-05
5.25E+03	1.00E-06	1.00E-05
5.25E+03	1.00E-06	1.00E-05
5.25E+03	1.00E-06	1.00E-05
5.26E+03	1.00E-06	1.00E-05
5.26E+03	1.00E-06	1.00E-05
5.26E+03	1.00E-06	1.00E-05
5.26E+03	1.00E-06	1.00E-05
5.26E+03	1.00E-06	1.00E-05
5.26E+03	1.00E-06	1.00E-05
5.26E+03	1.00E-06	1.00E-05
5.26E+03	1.00E-06	1.00E-05
5.27E+03	1.00E-06	1.00E-05
5.27E+03	1.00E-06	1.00E-05
5.27E+03	1.00E-06	1.00E-05
5.27E+03	1.00E-06	1.00E-05
5.27E+03	1.00E-06	1.00E-05
5.27E+03	1.00E-06	1.00E-05
5.27E+03	1.00E-06	1.00E-05
5.27E+03	1.00E-06	1.00E-05
5.28E+03	1.00E-06	1.00E-05
5.28E+03	1.00E-06	1.00E-05
5.28E+03	1.00E-06	1.00E-05
5.28E+03	1.00E-06	1.00E-05
5.28E+03	1.00E-06	1.00E-05
5.28E+03	1.00E-06	1.00E-05
5.28E+03	1.00E-06	1.00E-05
5.28E+03	1.00E-06	1.00E-05
5.29E+03	1.00E-06	1.00E-05
5.29E+03	1.00E-06	1.00E-05
5.29E+03	1.00E-06	1.00E-05
5.29E+03	1.00E-06	1.00E-05
5.29E+03	1.00E-06	1.00E-05
5.29E+03	1.00E-06	1.00E-05
5.29E+03	1.00E-06	1.00E-05
5.29E+03	1.00E-06	1.00E-05
5.30E+03	1.00E-06	1.00E-05
5.30E+03	1.00E-06	1.00E-05
5.30E+03	1.00E-06	1.00E-05
5.30E+03	1.00E-06	1.00E-05
5.30E+03	1.00E-06	1.00E-05
5.30E+03	1.00E-06	1.00E-05
5.30E+03	1.00E-06	1.00E-05
5.30E+03	1.00E-06	1.00E-05
5.31E+03	1.00E-06	1.00E-05
5.31E+03	1.00E-06	1.00E-05
5.31E+03	1.00E-06	1.00E-05
5.31E+03	1.00E-06	1.00E-05
5.31E+03	1.00E-06	1.00E-05
5.31E+03	1.00E-06	1.00E-05
5.31E+03	1.00E-06	1.00E-05
5.31E+03	1.00E-06	1.00E-05
5.32E+03	1.00E-06	1.00E-05
5.32E+03	1.00E-06	1.00E-05
5.32E+03	1.00E-06	1.00E-05
5.32E+03	1.00E-06	1.00E-05
5.32E+03	1.00E-06	1.00E-05
5.32E+03	1.00E-06	1.00E-05
5.32E+03	1.00E-06	1.00E-05
5.32E+03	1.00E-06	1.00E-05
5.33E+03	1.00E-06	1.00E-05
5.33E+03	1.00E-06	1.00E-05
5.33E+03	1.00E-06	1.00E-05
5.33E+03	1.00E-06	1.00E-05
5.33E+03	1.00E-06	1.00E-05
5.33E+03	1.00E-06	1.00E-05
5.33E+03	1.00E-06	1.00E-05
5.33E+03	1.00E-06	1.00E-05
5.34E+03	1.00E-06	1.00E-05
5.34E+03	1.00E-06	1.00E-05
5.34E+03	1.00E-06	1.00E-05
5.34E+03	1.00E-06	1.00E-05
5.34E+03	1.00E-06	1.00E-05
5.34E+03	1.00E-06	1.00E-05
5.34E+03	1.00E-06	1.00E-05
5.34E+03	1.00E-06	1.00E-05
5.35E+03	1.00E-06	1.00E-05
5.35E+03	1.00E-06	1.00E-05
5.35E+03	1.00E-06	1.00E-05
5.35E+03	1.00E-06	1.00E-05
5.35E+03	1.00E-06	1.00E-05
5.35E+03	1.00E-06	1.00E-05
5.35E+03	1.00E-06	1.00E-05
5.35E+03	1.00E-06	1.00E-05
5.36E+03	1.00E-06	1.00E-05
5.36E+03	1.00E-06	1.00E-05
5.36E+03	1.00E-06	1.00E-05
5.36E+03	1.00E-06	1.00E-05
5.36E+03	1.00E-06	1.00E-05
5.36E+03	1.00E-06	1.00E-05
5.36E+03	1.00E-06	1.00E-05
5.36E+03	1.00E-06	1.00E-05
5.37E+03	1.00E-06	1.00E-05
5.37E+03	1.00E-06	1.00E-05
5.37E+03	1.00E-06	1.00E-05
5.37E+03	1.00E-06	1.00E-05
5.37E+03	1.00E-06	1.00E-05
5.37E+03	1.00E-06	1.00E-05
5.37E+03	1.00E-06	1.00E-05
5.37E+03	1.00E-06	1.00E-05
5.38E+03	1.00E-06	1.00E-05
5.38E+03	1.00E-06	1.00E-05
5.38E+03	1.00E-06	1.00E-05
5.38E+03	1.00E-06	1.00E-05
5.38E+03	1.00E-06	1.00E-05
5.38E+03	1.00E-06	1.00E-05
5.38E+03	1.00E-06	1.00E-05
5.38E+03	1.00E-06	1.00E-05
5.39E+03	1.00E-06	1.00E-05
5.39E+03	1.00E-06	1.00E-05
5.39E+03	1.00E-06	1.00E-05
5.39E+03	1.00E-06	1.00E-05
5.39E+03	1.00E-06	1.00E-05
5.39E+03	1.00E-06	1.00E-05
5.39E+03	1.00E-06	1.00E-05
5.39E+03	1.00E-06	1.00E-05
5.40E+03	1.00E-06	1.00E-05
5.40E+03	1.00E-06	1.00E-05
5.40E+03	1.00E-06	1.00E-05
5.40E+03	1.00E-06	1.00E-05
5.40E+03	1.00E-06	1.00E-05
5.40E+03	1.00E-06	1.00E-05
5.40E+03	1.00E-06	1.00E-05
5.40E+03	1.00E-06	1.00E-05
5.41E+03	1.00E-06	1.00E-05
5.41E+03	1.00E-06	1.00E-05
5.41E+03	1.00E-06	1.00E-05
5.41E+03	1.00E-06	1.00E-05
5.41E+03	1.00E-06	1.00E-05
5.41E+03	1.00E-06	1.00E-05
5.41E+03	1.00E-06	1.00E-05
5.41E+03	1.00E-06	1.00E-05
5.42E+03	1.00E-06	1.00E-05
5.42E+03	1.00E-06	1.00E-05
5.42E+03	1.00E-06	1.00E-05
5.42E+03	1.00E-06	1.00E-05
5.42E+03	1.00E-06	1.00E-05
5.42E+03	1.00E-06	1.00E-05
5.42E+03	1.00E-06	1.00E-05
5.42E+03	1.00E-06	1.00E-05
5.43E+03	1.00E-06	1.00E-05
5.43E+03	1.00E-06	1.00E-05
5.43E+03	1.00E-06	1.00E-05
5.43E+03	1.00E-06	1.00E-05
5.43E+03	1.00E-06	1.00E-05
5.43E+03	1.00E-06	1.00E-05
5.43E+03	1.00E-06	1.00E-05
5.43E+03	1.00E-06	1.00E-05
5.44E+03	1.00E-06	1.00E-05
5.44E+03	1.00E-06	1.00E-05
5.44E+03	1.00E-06	1.00E-05
5.44E+03	1.00E-06	1.00E-05
5.44E+03	1.00E-06	1.00E-05
5.44E+03	1.00E-06	1.00E-05
5.44E+03	1.00E-06	1.00E-05
5.44E+03	1.00E-06	1.00E-05
5.45E+03	1.00E-06	1.00E-05
5.45E+03	1.00E-06	1.00E-05
5.45E+03	1.00E-06	1.00E-05
5.45E+03	1.00E-06	1.00E-05
5.45E+03	1.00E-06	1.00E-05
5.45E+03	1.00E-06	1.00E-05
5.45E+03	1.00E-06	1.00E-05
5.45E+03	1.00E-06	1.00E-05
5.46E+03	1.00E-06	1.00E-05
5.46E+03	1.00E-06	1.00E-05
5.46E+03	1.00E-06	1.00E-05
5.46E+03	1.00E-06	1.00E-05
5.46E+03	1.00E-06	1.00E-05
5.46E+03	1.00E-06	1.00E-05
5.46E+03	1.00E-06	1.00E-05
5.46E+03	1.00E-06	1.00E-05
5.47E+03	1.00E-06	1.00E-05
5.47E+03	1.00E-06	1.00E-05
5.47E+03	1.00E-06	1.00E-05
5.47E+03	1.00E-06	1.00E-05
5.47E+03	1.00E-06	1.00E-05
5.47E+03	1.00E-06	1.00E-05
5.47E+03	1.00E-06	1.00E-05
5.47E+03	1.00E-06	1.00E-05
5.48E+03	1.00E-06	1.00E-05
5.48E+03	1.00E-06	1.00E-05
5.48E+03	1.00E-06	1.00E-05
5.48E+03	1.00E-06	1.00E-05
5.48E+03	1.00E-06	1.00E-05
5.48E+03	1.00E-06	1.00E-05
5.48E+03	1.00E-06	1.00E-05
5.48E+03	1.00E-06	1.00E-05
5.49E+03	1.00E-06	1.00E-05
5.49E+03	1.00E-06	1.00E-05
5.49E+03	1.00E-06	1.00E-05
5.49E+03	1.00E-06	1.00E-05
5.49E+03	1.00E-06	1.00E-05
5.49E+03	1.00E-06	1.00E-05
5.49E+03	1.00E-06	1.00E-05
5.49E+03	1.00E-06	1.00E-05
5.50E+03	1.00E-06	1.00E-05
5.50E+03	1.00E-06	1.00E-05
5.50E+03	1.00E-06	1.00E-05
5.50E+03	1.00E-06	1.00E-05
5.50E+03	1.00E-06	1.00E-05
5.50E+03	1.00E-06	1.00E-05
5.50E+03	1.00E-06	1.00E-05
5.50E+03	1.00E-06	1.00E-05
5.51E+03	1.00E-06	1.00E-05
5.51E+03	1.00E-06	1.00E-05
5.51E+03	1.00E-06	1.00E-05
5.51E+03	1.00E-06	1.00E-05
5.51E+03	1.00E-06	1.00E-05
5.51E+03	1.00E-06	1.00E-05
5.51E+03	1.00E-06	1.00E-05
5.51E+03	1.00E-06	1.00E-05
5.52E+03	1.00E-06	1.00E-05
5.52E+03	1.00E-06	1.00E-05
5.52E+03	1.00E-06	1.00E-05
5.52E+03	1.00E-06	1.00E-05
5.52E+03	1.00E-06	1.00E-05
5.52E+03	1.00E-06	1.00E-05
5.52E+03	1.00E-06	1.00E-05
5.52E+03	1.00E-06	1.00E-05
5.53E+03	1.00E-06	1.00E-05
5.53E+03	1.00E-06	1.00E-05
5.53E+03	1.00E-06	1.00E-05
5.53E+03	1.00E-06	1.00E-05
5.53E+03	1.00E-06	1.00E-05
5.53E+03	1.00E-06	1.00E-05
5.53E+03	1.00E-06	1.00E-05
5.53E+03	1.00E-06	1.00E-05
5.54E+03	1.00E-06	1.00E-05
5.54E+03	1.00E-06	1.00E-05
5.54E+03	1.00E-06	1.00E-05
5.54E+03	1.00E-06	1.00E-05
5.54E+03	1.00E-06	1.00E-05
5.54E+03	1.00E-06	1.00E-05
5.54E+03	1.00E-06	1.00E-05
5.54E+03	1.00E-06	1.00E-05
5.55E+03	1.00E-06	1.00E-05
5.55E+03	1.00E-06	1.00E-05
5.55E+03	1.00E-06	1.00E-05
5.55E+03	1.00E-06	1.00E-05
5.55E+03	1.00E-06	1.00E-05
5.55E+03	1.00E-06	1.00E-05
5.55E+03	1.00E-06	1.00E-05
5.55E+03	1.00E-06	1.00E-05
5.56E+03	1.00E-06	1.00E-05
5.56E+03	1.00E-06	1.00E-05
5.56E+03	1.00E-06	1.00E-05
5.56E+03	1.00E-06	1.00E-05
5.56E+03	1.00E-06	1.00E-05
5.56E+03	1.00E-06	1.00E-05
5.56E+03	1.00E-06	1.00E-05
5.56E+03	1.00E-06	1.00E-05
5.57E+03	1.00E-06	1.00E-05
5.57E+03	1.00E-06	1.00E-05
5.57E+03	1.00E-06	1.00E-05
5.57E+03	1.00E-06	1.00E-05
5.57E+03	1.00E-06	1.00E-05
5.57E+03	1.00E-06	1.00E-05
5.57E+03	1.00E-06	1.00E-05
5.57E+03	1.00E-06	1.00E-05
5.58E+03	1.00E-06	1.00E-05
5.58E+03	1.00E-06	1.00E-05
5.58E+03	1.00E-06	1.00E-05
5.58E+03	1.00E-06	1.00E-05
